gene_id,gene_name,GeneGroup,kegg.Alzheimer,kegg.Parkinson,GWAS,raw.pval,corrected.pval,regression coefficient,,,
ENSG00000006007.7,GDE1,protein_coding,NA,NA,NA,1.68E-05,0.002732599,-0.006073514,,,
ENSG00000006025.6,OSBPL7,protein_coding,NA,NA,NA,6.45E-06,0.001570403,0.011105448,,,
ENSG00000006075.10,CCL3,protein_coding,NA,NA,NA,0.000274136,0.012529063,0.022233188,,,
ENSG00000006625.11,GGCT,protein_coding,NA,NA,NA,0.000356968,0.014235618,-0.00516024,,,
ENSG00000006695.5,COX10,protein_coding,NA,NA,NA,0.00016376,0.00947468,-0.004580784,,,
ENSG00000007168.6,PAFAH1B1,protein_coding,NA,NA,NA,0.000119329,0.007878441,-0.004854466,,,
ENSG00000007392.12,LUC7L,protein_coding,NA,NA,NA,0.00029155,0.012993403,0.006312151,,,
ENSG00000007933.8,FMO3,protein_coding,NA,NA,NA,1.80E-15,1.94E-11,0.021199222,,,
ENSG00000008323.11,PLEKHG6,protein_coding,NA,NA,NA,0.002792278,0.043641976,-0.004790828,,,
ENSG00000009335.13,UBE3C,protein_coding,NA,NA,NA,0.000217517,0.01094448,-0.005264288,,,
ENSG00000009844.9,VTA1,protein_coding,NA,NA,NA,6.94E-06,0.001606842,-0.00732425,,,
ENSG00000010072.10,C1orf124,protein_coding,NA,NA,NA,0.000365488,0.014401345,-0.005536161,,,
ENSG00000010539.7,ZNF200,protein_coding,NA,NA,NA,0.001028863,0.024876976,-0.004657025,,,
ENSG00000010610.5,CD4,protein_coding,NA,NA,NA,0.003513907,0.049694717,0.00773439,,,
ENSG00000011007.7,TCEB3,protein_coding,NA,NA,NA,0.000165619,0.009531025,-0.004001649,,,
ENSG00000011243.10,AKAP8L,protein_coding,NA,NA,NA,0.002886898,0.044469825,0.00398317,,,
ENSG00000012232.4,EXTL3,protein_coding,NA,NA,NA,0.000177749,0.00994655,-0.006025187,,,
ENSG00000013375.9,PGM3,protein_coding,NA,NA,NA,0.001887574,0.034907182,-0.005003055,,,
ENSG00000013441.10,CLK1,protein_coding,NA,NA,NA,0.000983986,0.024299658,0.007765785,,,
ENSG00000014641.13,MDH1,protein_coding,NA,NA,NA,0.000687109,0.019806354,-0.006828911,,,
ENSG00000015413.5,DPEP1,protein_coding,NA,NA,NA,0.000533079,0.017418358,0.007993626,,,
ENSG00000017483.10,SLC38A5,protein_coding,NA,NA,NA,0.001850347,0.034593914,0.008566534,,,
ENSG00000019582.10,CD74,protein_coding,NA,NA,NA,0.000962145,0.024035076,0.011548803,,,
ENSG00000020633.13,RUNX3,protein_coding,NA,NA,NA,9.17E-06,0.002008147,0.012690532,,,
ENSG00000021826.9,CPS1,protein_coding,NA,NA,NA,0.000756143,0.021054403,0.00705251,,,
ENSG00000022277.8,C20orf43,protein_coding,NA,NA,NA,6.03E-05,0.005312299,-0.003643676,,,
ENSG00000023228.8,NDUFS1,protein_coding,1,1,NA,1.97E-06,0.00094677,-0.008567801,,,
ENSG00000023330.9,ALAS1,protein_coding,NA,NA,NA,0.000685816,0.019786683,-0.005048179,,,
ENSG00000023734.6,STRAP,protein_coding,NA,NA,NA,1.34E-05,0.002451041,-0.00534642,,,
ENSG00000023909.5,GCLM,protein_coding,NA,NA,NA,3.49E-05,0.003844559,-0.008334257,,,
ENSG00000025434.14,NR1H3,protein_coding,NA,NA,NA,0.000115559,0.007767847,0.008639757,,,
ENSG00000026751.11,SLAMF7,protein_coding,NA,NA,NA,0.001470793,0.030198788,0.010764569,,,
ENSG00000027075.9,PRKCH,protein_coding,NA,NA,NA,0.002619486,0.042108267,0.005012853,,,
ENSG00000027869.7,SH2D2A,protein_coding,NA,NA,NA,0.000337657,0.013865753,0.012968339,,,
ENSG00000029364.7,SLC39A9,protein_coding,NA,NA,NA,0.000476512,0.016406996,-0.004931164,,,
ENSG00000033100.9,CHPF2,protein_coding,NA,NA,NA,0.001365156,0.029042055,-0.006966196,,,
ENSG00000035681.3,NSMAF,protein_coding,NA,NA,NA,0.001122897,0.026174,-0.003918528,,,
ENSG00000035687.8,ADSS,protein_coding,NA,NA,NA,0.003416092,0.04882467,-0.004559166,,,
ENSG00000036257.8,CUL3,protein_coding,NA,NA,NA,3.33E-06,0.001172707,-0.007053217,,,
ENSG00000039123.11,SKIV2L2,protein_coding,NA,NA,NA,0.002840426,0.044092777,-0.004741122,,,
ENSG00000039537.9,C6,protein_coding,NA,NA,NA,0.0009782,0.024230641,0.008224109,,,
ENSG00000041357.11,PSMA4,protein_coding,NA,NA,NA,0.000337159,0.013865559,-0.004999193,,,
ENSG00000042062.7,FAM65C,protein_coding,NA,NA,NA,0.000209851,0.010741197,0.010772725,,,
ENSG00000043462.7,LCP2,protein_coding,NA,NA,NA,1.79E-05,0.002816726,0.008242597,,,
ENSG00000047315.10,POLR2B,protein_coding,NA,NA,NA,6.02E-06,0.001522782,-0.007487408,,,
ENSG00000047365.6,ARAP2,protein_coding,NA,NA,NA,0.000451326,0.016033968,0.007143226,,,
ENSG00000047457.9,CP,protein_coding,NA,NA,NA,3.31E-06,0.001172707,0.022590044,,,
ENSG00000047617.9,ANO2,protein_coding,NA,NA,NA,0.001956207,0.035587362,0.007046058,,,
ENSG00000048540.9,LMO3,protein_coding,NA,NA,NA,0.000343436,0.013961524,0.010099408,,,
ENSG00000048544.5,MRPS10,protein_coding,NA,NA,NA,0.001024711,0.024837419,-0.004212676,,,
ENSG00000050130.12,JKAMP,protein_coding,NA,NA,NA,0.002355078,0.03959758,-0.005938847,,,
ENSG00000050327.8,ARHGEF5,protein_coding,NA,NA,NA,0.000190731,0.010231272,0.00633693,,,
ENSG00000050628.14,PTGER3,protein_coding,NA,NA,NA,6.80E-05,0.005636194,-0.007929305,,,
ENSG00000051382.4,PIK3CB,protein_coding,NA,NA,NA,0.001930318,0.035394617,-0.005049223,,,
ENSG00000052723.7,SIKE1,protein_coding,NA,NA,NA,0.000435027,0.015731182,-0.004953179,,,
ENSG00000053438.7,NNAT,protein_coding,NA,NA,NA,6.06E-07,0.000479063,-0.014526773,,,
ENSG00000053770.7,AP5M1,protein_coding,NA,NA,NA,0.000393903,0.014961852,-0.006362348,,,
ENSG00000054523.11,KIF1B,protein_coding,NA,NA,NA,0.003310037,0.047941534,-0.003790938,,,
ENSG00000054793.9,ATP9A,protein_coding,NA,NA,NA,2.84E-05,0.003438086,-0.007425193,,,
ENSG00000054965.6,FAM168A,protein_coding,NA,NA,NA,0.00167434,0.032561744,-0.003894382,,,
ENSG00000056487.11,PHF21B,protein_coding,NA,NA,NA,0.001939894,0.035469837,0.004906015,,,
ENSG00000056558.6,TRAF1,protein_coding,NA,NA,NA,3.03E-06,0.00112746,0.010396793,,,
ENSG00000056998.13,GYG2,protein_coding,NA,NA,NA,0.002889989,0.044469825,-0.00815051,,,
ENSG00000057657.9,PRDM1,protein_coding,NA,NA,NA,0.002824471,0.043954307,0.006213483,,,
ENSG00000058453.11,CROCC,protein_coding,NA,NA,NA,4.41E-05,0.004405567,0.008816829,,,
ENSG00000058729.6,RIOK2,protein_coding,NA,NA,NA,0.002684846,0.042746444,-0.004343762,,,
ENSG00000059804.10,SLC2A3,protein_coding,NA,NA,NA,0.001068533,0.025473548,0.016737931,,,
ENSG00000061455.9,PRDM6,protein_coding,NA,NA,NA,0.001218048,0.02740608,0.005131195,,,
ENSG00000061676.9,NCKAP1,protein_coding,NA,NA,NA,2.39E-05,0.00319378,-0.00714124,,,
ENSG00000061794.7,MRPS35,protein_coding,NA,NA,NA,2.79E-05,0.003399419,-0.006324245,,,
ENSG00000062282.8,DGAT2,protein_coding,NA,NA,NA,0.000219802,0.010990078,-0.01345153,,,
ENSG00000062485.12,CS,protein_coding,NA,NA,NA,0.000902902,0.023125703,-0.003934543,,,
ENSG00000063978.10,RNF4,protein_coding,NA,NA,NA,0.000980767,0.024242143,-0.003233097,,,
ENSG00000064205.6,WISP2,protein_coding,NA,NA,NA,4.35E-06,0.001296784,0.01182123,,,
ENSG00000064225.8,ST3GAL6,protein_coding,NA,NA,NA,0.000458419,0.016108887,-0.006631179,,,
ENSG00000064419.9,TNPO3,protein_coding,NA,NA,NA,0.000248591,0.011848561,-0.005158061,,,
ENSG00000064545.8,TMEM161A,protein_coding,NA,NA,NA,0.003532564,0.049784719,0.004455638,,,
ENSG00000064547.8,LPAR2,protein_coding,NA,NA,NA,0.000368427,0.014446358,0.007407533,,,
ENSG00000064655.13,EYA2,protein_coding,NA,NA,NA,2.30E-07,0.00027681,0.009908673,,,
ENSG00000064687.7,ABCA7,protein_coding,NA,NA,Alzheimer's_disease--PubMedId:21460840; Alzheimer's_disease_(late_onset)--PubMedId:23571587; Alzheimer's_disease_(late_onset)--PubMedId:21460841; Alzheimer's_disease_(late_onset)--PubMedId:24162737,0.002031087,0.036522015,0.008182896,,,
ENSG00000065060.12,UHRF1BP1,protein_coding,NA,NA,NA,0.002887796,0.044469825,-0.004413412,,,
ENSG00000065183.10,WDR3,protein_coding,NA,NA,NA,3.27E-05,0.003689907,-0.007189759,,,
ENSG00000065559.7,MAP2K4,protein_coding,NA,NA,NA,2.76E-05,0.003399419,-0.006282203,,,
ENSG00000065613.9,SLK,protein_coding,NA,NA,NA,0.000332432,0.013808709,-0.005081607,,,
ENSG00000065615.7,CYB5R4,protein_coding,NA,NA,NA,0.000225258,0.011125571,-0.00641748,,,
ENSG00000065802.7,ASB1,protein_coding,NA,NA,NA,0.001407187,0.029415539,-0.003302868,,,
ENSG00000066056.7,TIE1,protein_coding,NA,NA,NA,0.000909637,0.023261425,0.007331721,,,
ENSG00000066777.3,ARFGEF1,protein_coding,NA,NA,NA,0.001188849,0.027160217,-0.004104815,,,
ENSG00000067334.8,DNTTIP2,protein_coding,NA,NA,NA,0.003066474,0.045997111,-0.004320005,,,
ENSG00000067533.5,RRP15,protein_coding,NA,NA,NA,0.000710194,0.02020217,-0.004991359,,,
ENSG00000067704.8,IARS2,protein_coding,NA,NA,NA,0.000619833,0.018768781,-0.005299635,,,
ENSG00000067840.6,PDZD4,protein_coding,NA,NA,NA,0.002440269,0.040380352,0.009066689,,,
ENSG00000068137.9,PLEKHH3,protein_coding,NA,NA,NA,0.002201014,0.038149309,0.005913417,,,
ENSG00000068366.14,ACSL4,protein_coding,NA,NA,NA,0.0002061,0.010700106,-0.008403694,,,
ENSG00000068650.12,ATP11A,protein_coding,NA,NA,NA,0.001267854,0.027911803,-0.004997272,,,
ENSG00000068724.10,TTC7A,protein_coding,NA,NA,NA,0.000558663,0.017748921,0.004146153,,,
ENSG00000069329.10,VPS35,protein_coding,NA,NA,NA,0.001536606,0.030923006,-0.00448792,,,
ENSG00000069345.7,DNAJA2,protein_coding,NA,NA,NA,0.000404557,0.015155995,-0.00365147,,,
ENSG00000069493.9,CLEC2D,protein_coding,NA,NA,NA,0.000399459,0.015049368,0.009993285,,,
ENSG00000069696.6,DRD4,protein_coding,NA,NA,NA,0.001815401,0.034236905,0.009765469,,,
ENSG00000069702.6,TGFBR3,protein_coding,NA,NA,NA,0.00091745,0.023381886,0.007045237,,,
ENSG00000070159.7,PTPN3,protein_coding,NA,NA,NA,2.32E-05,0.003138453,-0.008465182,,,
ENSG00000070367.11,EXOC5,protein_coding,NA,NA,NA,0.000302867,0.013245542,-0.005964176,,,
ENSG00000070614.9,NDST1,protein_coding,NA,NA,NA,1.65E-05,0.002732599,-0.006237169,,,
ENSG00000070831.11,CDC42,protein_coding,NA,NA,NA,1.88E-05,0.002849104,-0.004420578,,,
ENSG00000071205.7,ARHGAP10,protein_coding,NA,NA,NA,0.001208863,0.027352096,0.005179429,,,
ENSG00000071537.8,SEL1L,protein_coding,NA,NA,NA,0.000971642,0.024142013,-0.005384504,,,
ENSG00000071859.10,FAM50A,protein_coding,NA,NA,NA,0.000851356,0.022460235,0.00486055,,,
ENSG00000071994.6,PDCD2,protein_coding,NA,NA,NA,0.000340601,0.013891375,-0.003980239,,,
ENSG00000072062.7,PRKACA,protein_coding,NA,NA,NA,0.00292867,0.044801186,-0.003435789,,,
ENSG00000072315.3,TRPC5,protein_coding,NA,NA,NA,0.001667062,0.032479148,-0.002974883,,,
ENSG00000072401.9,UBE2D1,protein_coding,NA,NA,NA,1.77E-05,0.002816726,-0.006711804,,,
ENSG00000072803.13,FBXW11,protein_coding,NA,NA,NA,0.000486297,0.016550458,-0.003824888,,,
ENSG00000072818.6,ACAP1,protein_coding,NA,NA,NA,0.000104736,0.007250925,0.0080833,,,
ENSG00000072840.8,EVC,protein_coding,NA,NA,NA,0.001488405,0.03046387,0.00587456,,,
ENSG00000073350.8,LLGL2,protein_coding,NA,NA,NA,0.000147637,0.008957742,0.008648867,,,
ENSG00000073605.12,GSDMB,protein_coding,NA,NA,NA,2.11E-05,0.003001665,0.011897273,,,
ENSG00000073861.1,TBX21,protein_coding,NA,NA,NA,1.21E-05,0.002284428,0.012357221,,,
ENSG00000073969.13,NSF,protein_coding,NA,NA,Parkinson's_disease--PubMedId:21812969; Parkinson's_disease--PubMedId:20711177; Parkinson's_disease--PubMedId:19915575,0.00015599,0.009222786,-0.007826048,,,
ENSG00000074319.6,TSG101,protein_coding,NA,NA,NA,0.000703059,0.02012806,-0.003856177,,,
ENSG00000074603.14,DPP8,protein_coding,NA,NA,NA,0.00087448,0.022739282,-0.005370702,,,
ENSG00000075239.9,ACAT1,protein_coding,NA,NA,NA,0.003258918,0.047498407,-0.004311636,,,
ENSG00000075336.6,TIMM21,protein_coding,NA,NA,NA,0.002304783,0.039055948,-0.003896984,,,
ENSG00000075415.8,SLC25A3,protein_coding,NA,NA,NA,3.50E-07,0.000365627,-0.006684323,,,
ENSG00000075826.11,SEC31B,protein_coding,NA,NA,NA,0.002508263,0.041115772,0.006896534,,,
ENSG00000075975.11,MKRN2,protein_coding,NA,NA,NA,0.001346435,0.028871278,-0.004018877,,,
ENSG00000076067.6,RBMS2,protein_coding,NA,NA,NA,0.001613625,0.031820733,0.00506941,,,
ENSG00000076513.10,ANKRD13A,protein_coding,NA,NA,NA,0.000563761,0.017811156,-0.004361314,,,
ENSG00000076770.10,MBNL3,protein_coding,NA,NA,NA,0.002941864,0.044897028,0.005277108,,,
ENSG00000076928.11,ARHGEF1,protein_coding,NA,NA,NA,0.002709582,0.042918763,0.004128847,,,
ENSG00000077312.2,SNRPA,protein_coding,NA,NA,NA,0.001126779,0.026245609,0.004694168,,,
ENSG00000077721.11,UBE2A,protein_coding,NA,NA,NA,0.001035562,0.02494588,-0.003575337,,,
ENSG00000078043.9,PIAS2,protein_coding,NA,NA,NA,0.002606366,0.042032917,-0.004396837,,,
ENSG00000078140.9,UBE2K,protein_coding,NA,NA,NA,2.90E-05,0.003462533,-0.005767235,,,
ENSG00000078246.10,TULP3,protein_coding,NA,NA,NA,0.001282571,0.02804001,0.00486901,,,
ENSG00000078304.12,PPP2R5C,protein_coding,NA,NA,NA,0.002905032,0.04462922,-0.003169549,,,
ENSG00000078487.12,ZCWPW1,protein_coding,NA,NA,Alzheimer's_disease_(late_onset)--PubMedId:24162737,0.003242862,0.047392306,0.004989498,,,
ENSG00000078668.8,VDAC3,protein_coding,NA,1,NA,0.002194637,0.038147127,-0.004233994,,,
ENSG00000079246.11,XRCC5,protein_coding,NA,NA,NA,0.000305315,0.013245542,-0.004618852,,,
ENSG00000079263.11,SP140,protein_coding,NA,NA,NA,0.000335084,0.013862723,0.008230675,,,
ENSG00000079332.7,SAR1A,protein_coding,NA,NA,NA,0.002859042,0.044258466,-0.003302016,,,
ENSG00000079337.10,RAPGEF3,protein_coding,NA,NA,NA,4.00E-05,0.004200841,0.00933335,,,
ENSG00000079739.9,PGM1,protein_coding,NA,NA,NA,0.001147378,0.026477953,-0.005661467,,,
ENSG00000079785.8,DDX1,protein_coding,NA,NA,NA,1.79E-05,0.002816726,-0.006163378,,,
ENSG00000081692.7,JMJD4,protein_coding,NA,NA,NA,0.002651743,0.042376419,-0.005913938,,,
ENSG00000081818.1,PCDHB4,protein_coding,NA,NA,NA,0.0005721,0.01791497,0.005378023,,,
ENSG00000082213.12,C5orf22,protein_coding,NA,NA,NA,7.50E-05,0.005869538,-0.00654649,,,
ENSG00000082701.9,GSK3B,protein_coding,1,NA,NA,3.77E-05,0.004067704,-0.006565372,,,
ENSG00000083099.6,LYRM2,protein_coding,NA,NA,NA,0.00010942,0.007443698,-0.006264007,,,
ENSG00000083520.10,DIS3,protein_coding,NA,NA,NA,0.001263066,0.027911803,-0.005209872,,,
ENSG00000083635.7,NUFIP1,protein_coding,NA,NA,NA,0.003041582,0.045793338,-0.003965368,,,
ENSG00000083937.4,CHMP2B,protein_coding,NA,NA,NA,0.000187329,0.010149602,-0.005401531,,,
ENSG00000084090.9,STARD7,protein_coding,NA,NA,NA,2.52E-05,0.003248768,-0.006476219,,,
ENSG00000084092.6,NOA1,protein_coding,NA,NA,NA,0.002867711,0.044340745,-0.003874564,,,
ENSG00000084112.8,SSH1,protein_coding,NA,NA,NA,0.000319212,0.013449252,-0.00470496,,,
ENSG00000084636.11,COL16A1,protein_coding,NA,NA,NA,0.002647606,0.042360785,0.006732913,,,
ENSG00000084733.6,RAB10,protein_coding,NA,NA,NA,0.000209068,0.010741197,-0.005390979,,,
ENSG00000085276.13,MECOM,protein_coding,NA,NA,NA,0.003338147,0.04817522,0.005992156,,,
ENSG00000085415.10,SEH1L,protein_coding,NA,NA,NA,0.002242288,0.038520756,-0.004359337,,,
ENSG00000085563.8,ABCB1,protein_coding,NA,NA,NA,0.000552564,0.017748921,0.008075561,,,
ENSG00000085831.11,TTC39A,protein_coding,NA,NA,NA,0.002962591,0.045085929,-0.005132747,,,
ENSG00000086200.10,IPO11,protein_coding,NA,NA,NA,0.003228512,0.047332031,-0.005074936,,,
ENSG00000086598.4,TMED2,protein_coding,NA,NA,NA,0.001925984,0.035355169,-0.003889279,,,
ENSG00000086991.8,NOX4,protein_coding,NA,NA,NA,9.74E-07,0.000595373,0.009956878,,,
ENSG00000087088.14,BAX,protein_coding,NA,NA,NA,0.000435239,0.015731182,0.006251952,,,
ENSG00000087152.9,ATXN7L3,protein_coding,NA,NA,NA,0.001155446,0.026626207,-0.004688285,,,
ENSG00000087245.8,MMP2,protein_coding,NA,NA,NA,0.002682947,0.042746444,0.007845684,,,
ENSG00000088766.6,CRLS1,protein_coding,NA,NA,NA,0.000641398,0.019091474,-0.0054728,,,
ENSG00000088833.11,NSFL1C,protein_coding,NA,NA,NA,0.003267799,0.047548808,-0.002361005,,,
ENSG00000088881.13,EBF4,protein_coding,NA,NA,NA,0.000143748,0.008837628,0.007614093,,,
ENSG00000088930.6,XRN2,protein_coding,NA,NA,NA,0.000807969,0.021851585,-0.00556559,,,
ENSG00000089195.10,TRMT6,protein_coding,NA,NA,NA,0.001353979,0.028961927,-0.006066943,,,
ENSG00000089327.8,FXYD5,protein_coding,NA,NA,NA,0.001728997,0.033245987,0.007437296,,,
ENSG00000089336.6,AC002115.6,lncRNA,NA,NA,NA,0.000206406,0.010700106,0.00686401,,,
ENSG00000089472.12,HEPH,protein_coding,NA,NA,NA,0.002723357,0.043027987,0.005396941,,,
ENSG00000089692.3,LAG3,protein_coding,NA,NA,NA,0.000787366,0.0215665,0.01104496,,,
ENSG00000089775.6,ZBTB25,protein_coding,NA,NA,NA,0.000869985,0.022713549,0.005833304,,,
ENSG00000089876.7,DHX32,protein_coding,NA,NA,NA,0.001197014,0.027216311,-0.004656269,,,
ENSG00000090006.12,LTBP4,protein_coding,NA,NA,NA,0.002059965,0.036793204,0.008733853,,,
ENSG00000090104.6,RGS1,protein_coding,NA,NA,NA,1.84E-07,0.000270775,0.026660765,,,
ENSG00000090263.10,MRPS33,protein_coding,NA,NA,NA,0.001367864,0.029061498,-0.004452589,,,
ENSG00000090432.5,MUL1,protein_coding,NA,NA,NA,0.000873285,0.022737857,-0.005740908,,,
ENSG00000090554.6,FLT3LG,protein_coding,NA,NA,NA,0.000770868,0.021310677,0.009543451,,,
ENSG00000090674.10,MCOLN1,protein_coding,NA,NA,NA,0.002391952,0.040009942,0.004126773,,,
ENSG00000090932.5,DLL3,protein_coding,NA,NA,NA,0.000235066,0.011384364,-0.003843341,,,
ENSG00000091140.5,DLD,protein_coding,NA,NA,NA,4.82E-07,0.000447889,-0.008889683,,,
ENSG00000091164.7,TXNL1,protein_coding,NA,NA,NA,0.000308431,0.013268286,-0.004333857,,,
ENSG00000091317.7,CMTM6,protein_coding,NA,NA,NA,1.14E-05,0.00223275,-0.008764005,,,
ENSG00000091483.6,FH,protein_coding,NA,NA,NA,0.001443581,0.02990556,-0.004348957,,,
ENSG00000091527.11,CDV3,protein_coding,NA,NA,NA,0.001233658,0.027603955,-0.003661585,,,
ENSG00000091592.9,NLRP1,protein_coding,NA,NA,NA,0.000215576,0.01094448,0.006649196,,,
ENSG00000091622.10,PITPNM3,protein_coding,NA,NA,NA,0.001605741,0.031725344,-0.007438745,,,
ENSG00000092201.4,SUPT16H,protein_coding,NA,NA,NA,0.001702156,0.032866412,-0.003611137,,,
ENSG00000092203.7,TOX4,protein_coding,NA,NA,NA,3.49E-05,0.003844559,-0.00457601,,,
ENSG00000092330.11,TINF2,protein_coding,NA,NA,NA,0.001526084,0.030806938,-0.003758623,,,
ENSG00000093144.13,ECHDC1,protein_coding,NA,NA,NA,0.001865067,0.034684001,-0.005020544,,,
ENSG00000094631.13,HDAC6,protein_coding,NA,NA,NA,3.87E-06,0.001253443,0.005668382,,,
ENSG00000094880.6,CDC23,protein_coding,NA,NA,NA,0.000209549,0.010741197,-0.005843864,,,
ENSG00000094963.9,FMO2,protein_coding,NA,NA,NA,6.53E-05,0.005521094,0.012450875,,,
ENSG00000095383.14,TBC1D2,protein_coding,NA,NA,NA,0.002324125,0.039287161,0.004470725,,,
ENSG00000095397.9,DFNB31,protein_coding,NA,NA,NA,0.001209252,0.027352096,0.00843677,,,
ENSG00000096063.10,SRPK1,protein_coding,NA,NA,NA,0.000440715,0.015848115,-0.005820684,,,
ENSG00000097033.9,SH3GLB1,protein_coding,NA,NA,NA,0.002858694,0.044258466,-0.004261762,,,
ENSG00000099246.10,RAB18,protein_coding,NA,NA,NA,0.001860052,0.034635448,-0.004142275,,,
ENSG00000099326.3,MZF1,protein_coding,NA,NA,NA,0.00159711,0.031649151,0.005769108,,,
ENSG00000099341.5,PSMD8,protein_coding,NA,NA,NA,0.001090807,0.025801761,-0.004922041,,,
ENSG00000099949.13,LZTR1,protein_coding,NA,NA,NA,0.002933047,0.044825815,0.004711677,,,
ENSG00000100030.9,MAPK1,protein_coding,1,NA,NA,4.58E-05,0.004481549,-0.005698344,,,
ENSG00000100031.14,GGT1,protein_coding,NA,NA,NA,1.35E-05,0.00245107,0.007943407,,,
ENSG00000100104.7,SRRD,protein_coding,NA,NA,NA,0.000216622,0.01094448,-0.004788058,,,
ENSG00000100139.9,MICALL1,protein_coding,NA,NA,NA,0.002744646,0.043166591,-0.00508142,,,
ENSG00000100226.11,GTPBP1,protein_coding,NA,NA,NA,0.000960948,0.024035076,0.005574953,,,
ENSG00000100258.12,LMF2,protein_coding,NA,NA,NA,0.00018596,0.010135334,0.005064788,,,
ENSG00000100285.8,NEFH,protein_coding,NA,NA,NA,0.000282981,0.01271648,-0.009250386,,,
ENSG00000100294.7,MCAT,protein_coding,NA,NA,NA,0.001004563,0.024508916,-0.005166557,,,
ENSG00000100298.11,APOBEC3H,protein_coding,NA,NA,NA,1.21E-06,0.000677486,0.01383118,,,
ENSG00000100325.10,ASCC2,protein_coding,NA,NA,NA,0.002575992,0.041742558,0.003100972,,,
ENSG00000100335.8,SMCR7L,protein_coding,NA,NA,NA,5.36E-06,0.001448256,-0.007862593,,,
ENSG00000100351.11,GRAP2,protein_coding,NA,NA,NA,0.000360844,0.01434519,0.007153666,,,
ENSG00000100433.11,KCNK10,protein_coding,NA,NA,NA,0.000325227,0.013579079,-0.004385339,,,
ENSG00000100450.6,GZMH,protein_coding,NA,NA,NA,1.24E-05,0.002308678,0.022625977,,,
ENSG00000100453.7,GZMB,protein_coding,NA,NA,NA,4.15E-05,0.004255187,0.018256548,,,
ENSG00000100522.4,GNPNAT1,protein_coding,NA,NA,NA,0.00021847,0.010957324,-0.005148929,,,
ENSG00000100567.8,PSMA3,protein_coding,NA,NA,NA,1.18E-05,0.00223275,-0.006233941,,,
ENSG00000100580.7,TMED8,protein_coding,NA,NA,NA,0.001825644,0.034330164,-0.004927226,,,
ENSG00000100629.11,CEP128,protein_coding,NA,NA,NA,0.002528011,0.041281689,0.004381886,,,
ENSG00000100664.6,EIF5,protein_coding,NA,NA,NA,4.42E-05,0.004405567,-0.006107831,,,
ENSG00000100744.10,C14orf129,protein_coding,NA,NA,NA,0.000897039,0.023085044,-0.005887124,,,
ENSG00000100764.9,PSMC1,protein_coding,NA,NA,NA,2.85E-05,0.003438086,-0.005235832,,,
ENSG00000100823.6,APEX1,protein_coding,NA,NA,NA,0.000217876,0.01094448,-0.004886363,,,
ENSG00000100842.8,EFS,protein_coding,NA,NA,NA,0.001034295,0.024933902,0.005576282,,,
ENSG00000100883.7,SRP54,protein_coding,NA,NA,NA,0.000147118,0.008957742,-0.004945162,,,
ENSG00000100902.6,PSMA6,protein_coding,NA,NA,NA,6.12E-05,0.005361735,-0.006578233,,,
ENSG00000100934.9,SEC23A,protein_coding,NA,NA,NA,0.000223811,0.01107846,-0.006248869,,,
ENSG00000100938.12,GMPR2,protein_coding,NA,NA,NA,0.002678147,0.042723761,-0.003288098,,,
