Division,Category,Gene Symbol,Gene Name,Synonyms,HGNC_IDs,HGNC_IDs Links,UniProt_IDs,Refseq_IDs,Orthology,Notes
Core matrisome,ECM Glycoproteins,DSPP,dentin sialophosphoprotein,DFNA39|DGI1|DMP3|DPP|DSP|DTDP2,3054,3054,Q9NZW4,NP_055023.2,Mouse:Dspp|,
Core matrisome,ECM Glycoproteins,ECM1,extracellular matrix protein 1,-,3153,3153,Q16610,NP_001189787.1:NP_004416.2:NP_073155.2,Mouse:Ecm1|,
Core matrisome,ECM Glycoproteins,ECM2,"extracellular matrix protein 2, female organ and adipocyte specific",MGC126355|MGC126356,3154,3154,O94769:Q5T9F3:Q5T9F4,NP_001184224.1:NP_001184225.1:NP_001384.1,Mouse:Ecm2|,
Core matrisome,ECM Glycoproteins,EDIL3,EGF-like repeats and discoidin I-like domains 3,DEL1|MGC26287,3173,3173,O43854,NP_001265571.1:NP_005702.3,Mouse:Edil3|,
Core matrisome,ECM Glycoproteins,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,DHRD|DRAD|FBLN3|FBNL|FLJ35535|MGC111353|MLVT|MTLV|,3218,3218,C9J4H7:C9J4J8:C9J8S9:C9JPZ9:C9JQX7:C9JUM4:Q12805:Q580Q6,NP_001034437.1:NP_001034438.1,Mouse:Efemp1|,Fibulin
Core matrisome,ECM Glycoproteins,EFEMP2,EGF-containing fibulin-like extracellular matrix protein 2,FBLN4|MBP1|UPH1,3219,3219,E9PI47:E9PKA3:E9PNB8:E9PRQ8:E9PRU1:E9PSC1:H0YCB5:H0YCR9:H0YET5:H0YEU0:O95967,NP_058634.4,Mouse:Efemp2|,Fibulin
Core matrisome,ECM Glycoproteins,EGFLAM,"EGF-like, fibronectin type III and laminin G domains",AGRINL|AGRNL|FLJ39155,26810,26810,D6RG24:D6RJD2:Q63HQ2,NP_001192230.1:NP_689616.2:NP_877950.1:NP_877953.1,Mouse:Egflam|,
Core matrisome,ECM Glycoproteins,ELN,elastin,FLJ38671|FLJ43523|SVAS|WBS|WS,3327,3327,E7EN51:E7EN65:E7ENM0:E7ENW7:E7EP82:E7EQH8:E7ETP7:E7EWS8:E9PGX4:F8WAH6:G3V0G6:G5E950:H7C3K0:P15502,NP_000492.2:NP_001075221.1:NP_001075222.1:NP_001075223.1:NP_001075224.1:NP_001265844.1:NP_001265845.1:NP_001265841.1:NP_001265842.1:NP_001265843.1:NP_001265846.1,Mouse:Eln|,
Core matrisome,ECM Glycoproteins,ELSPBP1,epididymal sperm binding protein 1,E12|EDDM12|HE12,14417,14417,M0QZH6:M0R006:M0R179:M0R331:Q96BH3,NP_071425.3,,
Core matrisome,ECM Glycoproteins,EMID1,EMI domain containing 1,EMI5|EMU1|MGC50657|hEmu1,18036,18036,B0QYK2:B0QYK3:B0QYK4:B0QYK5:F8WDX7:H0Y6W4:Q96A84,NP_001254824.1:NP_597712.2:XP_005261385.1,Mouse:Emid1|,
Core matrisome,ECM Glycoproteins,EMILIN1,elastin microfibril interfacer 1,DKFZp586M121|EMI|EMILIN|gp115,19880,19880,H0Y7A0:Q9Y6C2,NP_008977.1,Mouse:Emilin1|,
Core matrisome,ECM Glycoproteins,EMILIN2,elastin microfibril interfacer 2,EMILIN-2|FLJ33200|FOAP-10,19881,19881,Q9BXX0,NP_114437.2,Mouse:Emilin2|,
Core matrisome,ECM Glycoproteins,EMILIN3,elastin microfibril interfacer 3,C20orf130|DKFZp434A2410|EMILIN5|dJ620E11.4,16123,16123,Q9NT22,NP_443078.1,Mouse:Emilin3|,
Core matrisome,ECM Glycoproteins,EYS,eyes shut homolog (Drosophila),C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|KIAA0663|,21555,21555,F8WDD3:H0Y3Q4:Q5T1H1,NP_001136272.1:NP_001136273.1:NP_938024.1,,
Core matrisome,ECM Glycoproteins,FBLN1,fibulin 1,FBLN|FIBL1,3600,3600,B1AHL2:B1AHM4:B1AHM5:B1AHM6:B1AHM7:B1AHM8:B1AHM9:B1AHN3:F8W7M9:H7C1M6:P23142,NP_001987.2:NP_006476.2:NP_006477.2:NP_006478.2,Mouse:Fbln1|,Fibulin
Core matrisome,ECM Glycoproteins,FBLN2,fibulin 2,-,3601,3601,C9JQS6:F5H1F3:H7BXL0:H7C1A3:P98095,NP_001004019.1:NP_001158507.1:NP_001989.2,Mouse:Fbln2|,Fibulin
Core matrisome,ECM Glycoproteins,FBLN5,fibulin 5,ARMD3|DANCE|EVEC|FIBL-5|FLJ90059|UP50,3602,3602,G3V2P8:G3V329:G3V3Y2:G3V4U0:G3XA98:H0YJ31:Q9UBX5,NP_006320.2,Mouse:Fbln5|,Fibulin
Core matrisome,ECM Glycoproteins,FBLN7,fibulin 7,DKFZp547D0610|FLJ37440|TM14,26740,26740,B8ZZC1:H7BZ65:Q53RD9:Q8IY13,NP_001121637.1:NP_694946.2,Mouse:Fbln7|,Fibulin
Core matrisome,ECM Glycoproteins,FBN1,fibrillin 1,FBN|MASS|MFS1|OCTD|SGS|WMS,3603,3603,F6U495:H0YN80:H0YND0:P35555,NP_000129.3,Mouse:Fbn1|,
Core matrisome,ECM Glycoproteins,FBN2,fibrillin 2,CCA|DA9,3604,3604,D6REJ2:D6RJI3:E9PHW4:P35556,NP_001990.2,Mouse:Fbn2|,
Core matrisome,ECM Glycoproteins,FBN3,fibrillin 3,KIAA1776,18794,18794,M0QXL8:M0R2Q5:Q75N90,NP_115823.3,,
Core matrisome,ECM Glycoproteins,FGA,fibrinogen alpha chain,Fib2|MGC119422|MGC119423|MGC119425,3661,3661,P02671,NP_000499.1:NP_068657.1,Mouse:Fga|,Hemostasis
Core matrisome,ECM Glycoproteins,FGB,fibrinogen beta chain,MGC104327|MGC120405,3662,3662,D6REL8:F8W6P4:P02675,NP_001171670.1:NP_005132.2,Mouse:Fgb|,Hemostasis
Core matrisome,ECM Glycoproteins,FGG,fibrinogen gamma chain,-,3694,3694,C9JC84:C9JEU5:C9JPQ9:C9JU00:P02679,NP_000500.2:NP_068656.2,Mouse:Fgg|,Hemostasis
Core matrisome,ECM Glycoproteins,FGL1,fibrinogen-like 1,HFREP1|HP-041|LFIRE1|MGC12455,3695,3695,Q08830,NP_004458.3:NP_671736.2:NP_963846.1:NP_963847.1,Mouse:Fgl1|,
Core matrisome,ECM Glycoproteins,FGL2,fibrinogen-like 2,T49|pT49,3696,3696,Q14314,NP_006673.1,Mouse:Fgl2|,
Core matrisome,ECM Glycoproteins,FN1,fibronectin 1,CIG|DKFZp686F10164|DKFZp686H0342|DKFZp686I1370|DKF,3778,3778,F8W7G7:H0Y4K8:H0Y7Z1:P02751,NP_002017.1:NP_473375.2:NP_997639.1:NP_997641.1:NP_997643.1:NP_997647.1:XP_005246457.1:XP_005246463.1:XP_005246470.1:XP_005246472.1:XP_005246474.1,Mouse:Fn1|,
Core matrisome,ECM Glycoproteins,FNDC1,fibronectin type III domain containing 1,AGS8|FNDC2|KIAA1866|MEL4B3|bA243O10.1|dJ322A24.1,21184,21184,J3KNQ2:Q4ZHG4,NP_115921.2,Mouse:Fndc1|,
Core matrisome,ECM Glycoproteins,FNDC7,fibronectin type III domain containing 7,FLJ35838|MGC163293|RP11-293A10.2,26668,26668,H7C2H6:J3KN65:Q5VTL7,NP_001138409.1,Mouse:Fndc7|,
Core matrisome,ECM Glycoproteins,FNDC8,fibronectin type III domain containing 8,DKFZp434H2215,25286,25286,Q8TC99,NP_060029.1,Mouse:Fndc8|,
Core matrisome,ECM Glycoproteins,FRAS1,Fraser syndrome 1,DKFZp686I05113|DKFZp686P08111|FLJ14927|FLJ22031|KI,19185,19185,D6RCP6:H0Y8V2:H0Y930:H0Y9A6:H0Y9C9:Q86XX4,NP_001159605.1:NP_079350.5,Mouse:Fras1|,
Core matrisome,ECM Glycoproteins,GAS6,growth arrest-specific 6,AXLLG|AXSF|DKFZp666G247|FLJ34709,4168,4168,J3KP07:Q14393,NP_000811.1:NP_001137417.1:NP_001137418.1,Mouse:Gas6|,
Core matrisome,ECM Glycoproteins,GLDN,gliomedin,CLOM|COLM|CRG-L2|CRGL2|FLJ23917|UNC-112,29514,29514,H0YM22:Q6ZMI3,NP_861454.2:XP_006720545.1:XP_006720546.1,Mouse:Gldn|,
Core matrisome,ECM Glycoproteins,HMCN1,hemicentin 1,ARMD1|FBLN6|FIBL-6|FIBL6,19194,19194,Q5TCP6:Q96RW7,NP_114141.2,Mouse:Hmcn1|,Fibulin
Core matrisome,ECM Glycoproteins,HMCN2,hemicentin 2,DKFZp434P0216|FLJ23816|FLJ46139|FLJ46844,21293,21293,A2A3K3:H0Y3X1:H7BZI5:H7C0N8:H7C3T8:Q8NDA2,NP_001278744.1 ,Mouse:Hmcn2|,
Core matrisome,ECM Glycoproteins,IBSP,integrin-binding sialoprotein,BNSP|BSP|BSP-II|SP-II,5341,5341,P21815,NP_004958.2,Mouse:Ibsp|,
Core matrisome,ECM Glycoproteins,IGFALS,"insulin-like growth factor binding protein, acid labile subunit",ALS,5468,5468,H3BSX8:P35858,NP_001139478.1:NP_004961.1,Mouse:Igfals|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP1,insulin-like growth factor binding protein 1,AFBP|IBP1|IGF-BP25|PP12|hIGFBP-1,5469,5469,C9J6H2:C9JXF9:P08833,NP_000587.1,Mouse:Igfbp1|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP2,"insulin-like growth factor binding protein 2, 36kDa",IBP2|IGF-BP53,5471,5471,C9JMY1:C9JW52:H7C1H0:P18065,NP_000588.2,Mouse:Igfbp2|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP3,insulin-like growth factor binding protein 3,BP-53|IBP3,5472,5472,B3KWK7:C9JMX4:H0Y485:H0Y5K2:P17936,NP_000589.2:NP_001013416.1,Mouse:Igfbp3|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP4,insulin-like growth factor binding protein 4,BP-4|HT29-IGFBP|IBP4|IGFBP-4,5473,5473,B4E351:P22692,NP_001543.2,Mouse:Igfbp4|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP5,insulin-like growth factor binding protein 5,IBP5,5474,5474,C9JXX4:P24593,NP_000590.1,Mouse:Igfbp5|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP6,insulin-like growth factor binding protein 6,IBP6,5475,5475,F8VVA5:F8VYK9:P24592,NP_002169.1,Mouse:Igfbp6|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBP7,insulin-like growth factor binding protein 7,FSTL2|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF,5476,5476,Q16270,NP_001240764.1:NP_001544.1,Mouse:Igfbp7|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGFBPL1,insulin-like growth factor binding protein-like 1,IGFBP-RP4|bA113O24.1,20081,20081,Q8WX77,NP_001007564.1,Mouse:Igfbpl1|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,IGSF10,"immunoglobulin superfamily, member 10",CMF608|FLJ25972,26384,26384,H7C4M2:Q6WRI0,NP_001171616.1:NP_001171617.1:NP_849144.2:XP_005247434.1:XP_006713660.1:XP_006713663.1,Mouse:Igsf10|,
Core matrisome,ECM Glycoproteins,KAL1,Kallmann syndrome 1 sequence,ADMLX|HHA|KAL|KALIG-1|KMS,6211,6211,P23352,NP_000207.2,Mouse:Slamf6|,
Core matrisome,ECM Glycoproteins,KCP,kielin/chordin-like protein,CRIM2|KCP1|NET67,17585,17585,Q6ZWJ8,NP_001129386.1:NP_955381.2,Mouse:Kcp|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,LAMA1,"laminin, alpha 1",LAMA,6481,6481,P25391,NP_005550.2,Mouse:Lama1|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMA2,"laminin, alpha 2",LAMM,6482,6482,P24043,NP_000417.2:NP_001073291.1,Mouse:Lama2|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMA3,"laminin, alpha 3",BM600|E170|LAMNA|LOCS|lama3a,6483,6483,K7EIP4:K7EMU9:K7EPP3:K7EQ42:K7ERM0:Q16787,NP_000218.2:NP_001121189.1:NP_001121190.1:NP_937762.1,Mouse:Lama3|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMA4,"laminin, alpha 4",DKFZp686D23145|LAMA3|LAMA4*-1,6484,6484,E5RFD7:E5RFQ2:E5RHF3:E5RK79:H0Y351:H0YAP9:H0YAQ5:Q16363:Q6LET9,NP_001098676.2:NP_001098677.2:NP_001098678.1:NP_001098679.1:NP_002281.3,Mouse:Lama4|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMA5,"laminin, alpha 5",KIAA1907,6485,6485,E2QRK0:F2Z2S4:H7C5J6:O15230:Q5JTP4,NP_005551.3,Mouse:Lama5|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMB1,"laminin, beta 1",CLM|MGC142015,6486,6486,C9J296:E7EPA6:E9PCS6:G3XAI2:P07942,NP_002282.2,Mouse:Lamb1|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMB2,"laminin, beta 2 (laminin S)",LAMS,6487,6487,F5H520:P55268,NP_002283.3:XP_005265184.1,Mouse:Lamb2|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMB3,"laminin, beta 3",BM600-125KDA|FLJ99565|LAM5|LAMNB1,6490,6490,Q13751:Q5THA1:X1WI29,NP_000219.2:NP_001017402.1:NP_001121113.1:XP_005273181.1,Mouse:Lamb3|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMB4,"laminin, beta 4",-,6491,6491,A4D0S4:C9JMJ0,NP_031382.2:XP_005250289.1,,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMC1,"laminin, gamma 1 (formerly LAMB2)",LAMB2|MGC87297,6492,6492,P11047:R4GNC7,NP_002284.3,Mouse:Lamc1|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMC2,"laminin, gamma 2",B2T|BM600|CSF|EBR2|EBR2A|LAMB2T|LAMNB2|MGC138491|M,6493,6493,Q13753,NP_005553.2:NP_061486.2,Mouse:Lamc2|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LAMC3,"laminin, gamma 3",DKFZp434E202,6494,6494,H7BY04:Q5JTC4:Q9Y6N6,NP_006050.3,Mouse:Lamc3|,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,LGI1,"leucine-rich, glioma inactivated 1",EPITEMPIN|EPT|ETL1|IB1099,6572,6572,O95970,NP_005088.1:XP_005270329.1,Mouse:Lgi1|,
Core matrisome,ECM Glycoproteins,LGI2,"leucine-rich repeat LGI family, member 2",FLJ10675|KIAA1916|LGIL2|MGC126808|MGC126810,18710,18710,H0YA65:Q8N0V4,NP_060646.2,Mouse:Lgi2|,
Core matrisome,ECM Glycoproteins,LGI3,"leucine-rich repeat LGI family, member 3",LGIL4,18711,18711,A5PLP2:E5RIV5:H0YAP4:Q8N145,NP_644807.1,Mouse:Lgi3|,
Core matrisome,ECM Glycoproteins,LGI4,"leucine-rich repeat LGI family, member 4",LGIL3,18712,18712,A8MVC2:K7ENQ0:Q8N135,NP_644813.1,Mouse:Lgi4|,
Core matrisome,ECM Glycoproteins,LRG1,leucine-rich alpha-2-glycoprotein 1,HMFT1766|LRG,29480,29480,P02750,NP_443204.1,Mouse:Lrg1|,
Core matrisome,ECM Glycoproteins,LTBP1,latent transforming growth factor beta binding protein 1,MGC163161,6714,6714,C9JD84:C9JDW2:E7EUU6:E7EV71:H7BZ76:H7C0I7:H7C2H7:H7C4L5:Q14766,NP_000618.3:NP_001159736.1:NP_001159737.1:NP_001159738.1:NP_996826.2,Mouse:Ltbp1|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,LTBP2,latent transforming growth factor beta binding protein 2,C14orf141|GLC3D|LTBP3|MSTP031,6715,6715,G3V254:G3V3X5:G3V511:H0YJ20:Q14767,NP_000419.1,Mouse:Ltbp2|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,LTBP3,latent transforming growth factor beta binding protein 3,DKFZp586M2123|FLJ33431|FLJ39893|FLJ42533|FLJ44138|,6716,6716,E9PJR2:E9PKW1:E9PPT7:E9PQR0:E9PR75:E9PR84:E9PRF2:F5GWC4:H0YC99:H0YCQ2:H0YCX6:H0YE75:Q9NS15,NP_001123616.1:NP_001157738.1:NP_066548.2,Mouse:Ltbp3|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,LTBP4,latent transforming growth factor beta binding protein 4,FLJ46318|FLJ90018|LTBP-4|LTBP4L|LTBP4S,6717,6717,E7ENG9:E7EUU1:F5GXC9:F8WAA0:M0QXV3:M0QYE9:M0QZX0:M0R351:Q8N2S1,NP_001036009.1:NP_001036010.1:NP_003564.2,Mouse:Ltbp4|,Growth Factor-binding
Core matrisome,ECM Glycoproteins,MATN1,"matrilin 1, cartilage matrix protein",CMP|CRTM,6907,6907,P21941,NP_002370.1,Mouse:Matn1|,
Core matrisome,ECM Glycoproteins,MATN2,matrilin 2,-,6908,6908,E5RJM4:H0YBD5:H0YBF2:H0YBJ4:H0YBM3:H0YBN2:H0YBU5:H0YBV5:J3KN08:O00339,NP_002371.3:NP_085072.2,Mouse:Matn2|,
Core matrisome,ECM Glycoproteins,MATN3,matrilin 3,DIPOA|EDM5|HOA|OADIP|OS2,6909,6909,O15232,NP_002372.1,Mouse:Matn3|,
Core matrisome,ECM Glycoproteins,MATN4,matrilin 4,FLJ14417|HE6WCR54,6910,6910,A6NNA4:O95460,NP_085080.1:NP_085095.1:XP_005260654.1:NP_085095.1,Mouse:Matn4|,
Core matrisome,ECM Glycoproteins,MEPE,matrix extracellular phosphoglycoprotein,OF45,13361,13361,D6RAC8:D6RFW6:Q9NQ76,NP_001171623.1:NP_001171624.1:NP_001171625.1:NP_001171626.1:NP_001278112.1:NP_064588.1:XP_006714341.1,Mouse:Mepe|,
Core matrisome,ECM Glycoproteins,MFAP1,microfibrillar-associated protein 1,-,7032,7032,P55081,NP_005917.2,Mouse:Mfap1a|Mouse:Mfap1b|,
Core matrisome,ECM Glycoproteins,MFAP2,microfibrillar-associated protein 2,FLJ50901|MAGP|MAGP-1|MAGP1,7033,7033,P55001,NP_001128719.1:NP_001128720.1:NP_002394.1:NP_059453.1,Mouse:Mfap2|,
Core matrisome,ECM Glycoproteins,MFAP3,microfibrillar-associated protein 3,DKFZp586F0219,7034,7034,E5RH26:E5RHQ6:E5RJ59:P55082,NP_001128509.1:NP_001229265.1:NP_005918.1,Mouse:Mfap3|,
Core matrisome,ECM Glycoproteins,MFAP4,microfibrillar-associated protein 4,-,7035,7035,K7ES70:P55083,NP_001185624.1:NP_002395.1,Mouse:Mfap4|,
Core matrisome,ECM Glycoproteins,MFAP5,microfibrillar associated protein 5,MAGP2|MP25,29673,29673,B3KW70:F5GYX4:F5H1C0:F5H2W4:F5H413:F5H7Z2:H0YG03:H0YGS3:Q13361:Q7Z490,NP_003471.1:XP_005253542.1,Mouse:Mfap5|,
Core matrisome,ECM Glycoproteins,MFGE8,milk fat globule-EGF factor 8 protein,BA46|EDIL1|HsT19888|MFG-E8|OAcGD3S|SED1|SPAG10|hP4,7036,7036,F5GZN3:F5H7N9:H0YKB5:H0YKS8:Q08431:X6R3G6,NP_001108086.1:NP_001108086.1:NP_005919.2,Mouse:Mfge8|,
Core matrisome,ECM Glycoproteins,MGP,matrix Gla protein,GIG36|MGLAP|NTI,7060,7060,H0YGZ6:P08493,NP_000891.2:NP_001177768.1,Mouse:Mgp|,
Core matrisome,ECM Glycoproteins,MMRN1,multimerin 1,ECM|EMILIN4|GPIa*|MMRN,7178,7178,E7EPG1:Q13201,NP_031377.2,Mouse:Mmrn1|,
Core matrisome,ECM Glycoproteins,MMRN2,multimerin 2,EMILIN3|EndoGlyx-1|FLJ13465,19888,19888,Q9H8L6:R4GMY6:V9GY37:V9GY43:V9GYS9,NP_079032.2,Mouse:Mmrn2|,
Core matrisome,ECM Glycoproteins,MXRA5,matrix-remodelling associated 5,DKFZp564I1922,7539,7539,Q9NR99,NP_056234.2,,
Core matrisome,ECM Glycoproteins,NDNF,chromosome 4 open reading frame 31,FLJ23191|C4orf31,26256,26256,D6R972:D6RF18:Q8TB73,NP_078850.3,Mouse:Ndnf|,
Core matrisome,ECM Glycoproteins,NELL1,NEL-like 1 (chicken),FLJ45906|IDH3GL|NRP1,7750,7750,F5H6I3:J3KNC5:Q92832,NP_001275642.1:NP_001275642.1:NP_001275643.1:NP_006148.2:NP_963845.1:NP_001275643.1,Mouse:Nell1|,
Core matrisome,ECM Glycoproteins,NELL2,NEL-like 2 (chicken),NRP2,7751,7751,F8VRQ0:F8VVB6:F8VXR5:F8VZ72:F8W1A2:F8W1I8:H0YHY5:H0YI34:H0YIT4:Q99435,NP_001138579.1:NP_001138580.1:NP_001138581.1:NP_001138582.1:NP_006150.1:XP_005268962.1,Mouse:Nell2|,
Core matrisome,ECM Glycoproteins,NID1,nidogen 1,NID,7821,7821,P14543,NP_002499.2,Mouse:Nid1|,Basement Membrane
