Gene ID,Gene name,Adrenal gland,Appendix,Brain,Colon,Duodenum,Endometrium,Esophagus,Fallopian tube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymph node,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivary gland,Small intestine,Smooth muscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinary bladder,Tissue enriched,Group enriched,Tissue enhance,Classification
ENSG00000001617,SEMA3F,3.14,6.13,0,2.93,10.29,7.5,27.77,19.36,8.12,11.28,5.34,4.85,0,19.99,0,1.87,0,15.55,12.86,2.12,7.76,9.56,8.11,19.16,11.15,0,15.92,6.89,15.02,Esophagus,,,Mixed
ENSG00000001626,CFTR,0,2.63,0,30.25,27.53,0,0,2.23,0,40.19,0,0,0,7.39,0,0,115.56,0,1.22,40.11,4.2,28.35,4.81,0,4.71,0,0,0,1.07,Pancreas,Duodenum;Small intestine;Colon;Rectum;Gallbladder;Pancreas;,,Group enriched
ENSG00000001629,ANKIB1,12.59,9.24,23.52,9.6,9.58,12.99,11.91,8.96,9,12.60,7.6,24.74,6.52,8.12,13.11,10.09,6.19,10.26,9.01,11.69,10.99,10.75,11.46,10.19,10.42,17.6,14.11,9.56,10.89,Kidney,,,Expressed in all
ENSG00000001630,CYP51A1,42.54,12.87,28.59,36.71,18.66,16.73,21.09,7.27,12.86,7.61,8.4,18.74,50.84,36.45,5.52,13.05,19.08,7.98,28.56,17.46,7.6,18.84,8.37,6.35,35.29,50.05,17.58,9.63,8.32,Liver,,,Expressed in all
ENSG00000001631,KRIT1,8.18,11.58,15.74,8.22,13.71,13.49,8.66,12.03,6.84,13.08,9.43,11.21,8.42,7.38,9.12,14.11,4.48,8.93,9.32,12.39,10.3,7.61,13.06,9.25,13.09,24.21,22.02,11.89,11.02,Testis,,,Expressed in all
ENSG00000002016,RAD52,1.13,1.26,3.77,4.42,3.91,2.45,1.39,2.6,1.19,1.57,0,2.02,1.48,2.85,2.76,5.48,0,1.85,3.88,4.27,0,4.37,2.44,4.35,3.58,1.65,2.67,2.18,2.46,Ovary,,,Mixed
ENSG00000002330,BAD,16.9,7.16,12.91,8.08,18.62,14.56,8.57,18.95,9.24,21.43,18.03,4.41,9.98,18.36,6.15,13.59,17.3,20.04,27.38,6.2,33.28,14.51,9.51,9.9,21.26,11.8,8.29,5.31,11.86,Salivary gland,,,Expressed in all
ENSG00000002549,LAP3,56.39,137.88,31.17,58.81,64.58,36.03,37.33,46.81,62.72,46.54,46.99,67.96,114.31,93.99,73.84,18.92,16.97,52.48,29.92,39.39,73.86,43.21,31.92,88.18,39.91,42.76,29.77,73.28,53.04,Appendix,,,Expressed in all
ENSG00000002586,CD99,65.71,105.98,81.15,143.42,116.86,168.98,153.02,87.67,191.85,298.44,136.98,26.67,90.11,137.47,77.91,201.56,116.57,163.49,223.19,120.8,44.41,127.46,153.09,106.71,117.67,188.59,31.89,91.88,197.77,Gallbladder,,,Expressed in all
ENSG00000002587,HS3ST1,0,0,0,0,0,1.53,1.67,0,0,5.13,0,0,0,0,0.93,8.85,0,0,0,0,0,0,0.98,0.99,1.57,0,0,0,3.66,Ovary,,Gallbladder;Ovary,Tissue enhanced
ENSG00000002726,AOC1,0,4.13,0,67.69,140.92,0,0,0,0,2.72,0,110.36,1.41,0,0,0,0,918.46,0,41.75,0,178.01,7.74,0,24.62,0,0,1.54,1.15,Placenta,,,Tissue enriched
ENSG00000002745,WNT16,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1.16,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,Lymph node,Placenta;Lymph node;,,Group enriched
ENSG00000002746,HECW1,0,0,3.8,0,0,0,0,0,0,0.00,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kidney,Brain;Kidney;,,Group enriched
ENSG00000002822,MAD1L1,3.06,7.78,5.64,3.5,4.49,7.82,4.13,8.55,2.83,7.24,5.61,2.23,8.13,6.48,14.02,4.65,2.74,4.07,6.19,1.6,4.34,5.31,7.03,11.63,5.67,9.46,3.85,7.31,7.36,Lymph node,,,Expressed in all
ENSG00000002834,LASP1,26.91,55.22,35.68,85.22,97.36,34.6,27,25.1,60.19,55.12,11.43,33.61,30.61,56.4,51.23,40.67,24.85,78.61,18.96,59.5,20.26,121.15,35.43,60.16,77.67,15,15.09,56.91,37.96,Small intestine,,,Expressed in all
ENSG00000002919,SNX11,6.58,12.01,8.93,10.25,5.29,8.99,16.42,5.49,8.62,6.90,5.15,9.2,5.08,10.88,14.28,5.89,4.41,9.79,5.25,9.19,8.67,5.63,7.27,12.76,6.2,10.91,15.01,24.74,8.29,Tonsil,,,Expressed in all
ENSG00000002933,TMEM176A,23.13,102.61,14.45,181.27,87.67,12.54,37.28,4.09,103.37,157.45,28.84,242.05,518.6,38.05,47.9,65.25,7.96,37.19,2.76,92.22,3.68,105.49,19.65,36.97,42.71,5.54,0,50.51,90.1,Liver,,Liver;,Tissue enhanced
ENSG00000003056,M6PR,49.26,86.19,39.49,67.48,41.39,45.44,42.05,58.73,54.76,68.47,74.58,61.25,36.73,70.06,86.51,32.58,22.58,45.6,44.86,61.76,44.38,44.47,61.17,85.41,49.89,56.5,67.59,76.65,54.21,Lymph node,,,Expressed in all
ENSG00000003096,KLHL13,5.93,1.65,3.12,2.51,2.64,33.88,5.72,7.56,2.34,3.93,5.71,11.77,1.79,1.26,0,6.84,0,0,2.93,5.4,0,2.84,34.13,0,0,5.54,0,0,7.32,Smooth muscle,,Endometrium;Smooth muscle,Tissue enhanced
ENSG00000003137,CYP26B1,1.51,0.95,4.17,0,0,0,2.25,0,10.65,1.01,0,0,0,2.64,3.48,3.17,0,3.44,0,1.52,0,2.64,0,1.13,0,12.1,3.31,1.02,1,Testis,,Fat;Testis,Tissue enhanced
ENSG00000003147,ICA1,7.08,3.24,5.39,32.89,13.45,7.45,1.5,13.9,14.16,12.56,35.25,12.61,6.69,9.54,6.02,0,22.67,8.46,23.5,15.94,28.05,10.96,5.66,5.32,30.67,29.3,12.6,6.52,6.72,Heart,,,Mixed
ENSG00000003249,DBNDD1,5.27,0.95,5.94,0,1.32,1.51,7.45,2.42,0,4.62,3.25,2.46,0,2.51,4.69,2.43,7.23,0,4.8,0,7.68,0,0,0,4.09,0,0,2.79,0,Salivary gland,,,Mixed
ENSG00000003393,ALS2,4.24,3.76,8.27,3.79,6.4,6.56,4.25,5.76,5.7,5.55,14.08,7.6,9.36,6.66,3.47,4.78,0,5.68,5.26,5.43,1.8,7.11,6.75,4.6,6.35,7.09,6.27,3.69,5.31,Heart,,,Mixed
ENSG00000003400,CASP10,0,5.73,0,8.89,14.47,2.4,5.08,4.75,4.96,6.68,1.49,3.61,1.65,9.75,7.83,0,0,6.99,0,10.62,0,13.91,3.9,12.56,8.19,0,1.06,7.47,8.47,Duodenum,,,Mixed
ENSG00000003402,CFLAR,40.64,84.36,7.88,34.49,32.83,21.69,45.36,22.87,75.69,35.39,63.78,43.21,28.33,49.64,53.64,15.39,15.5,65.99,37.21,41.53,30.54,41.31,43.7,53.39,36.88,21.16,36.36,67.7,37.66,Appendix,,,Expressed in all
ENSG00000003436,TFPI,12.17,15.56,4.35,28.26,45.61,15.72,37.31,10.91,68.3,66.28,16.27,63.77,207.59,97.33,25.71,25.05,6.37,160.53,10.26,23.83,0,48.29,27.4,16.08,16.55,7.85,9.39,16.87,75.46,Liver,,Liver;,Tissue enhanced
ENSG00000003509,NDUFAF7,9.09,3.73,3.2,4.86,3.67,5.09,3.48,2.74,2.6,5.19,13.7,8.76,7.39,3.3,3.98,3.03,0,3.22,3.4,7.12,2.08,7.23,9.38,3.7,3.37,24.98,3.53,5.77,5.56,Testis,,,Mixed
ENSG00000003756,RBM5,28.61,41.07,46.15,39.21,30.49,42.14,28.05,54.45,32.22,39.65,19.57,31.02,17.55,31.79,60.32,49.76,26.37,40.25,54.63,52.08,33.38,38.09,65.18,48.98,42.91,44.97,40.03,59.28,37.1,Smooth muscle,,,Expressed in all
ENSG00000003987,MTMR7,1.93,0,8.11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,4.33,0,0,Brain,Adrenal gland;Thyroid;Brain,,Group enriched
ENSG00000003989,SLC7A2,5.71,2.77,2.85,5.04,1.57,10.94,7.85,52.19,15.17,11.26,5.27,7.87,97.16,3.46,2.87,36.23,59.43,9.07,12.58,5.31,4.95,0,4.6,1.41,8.56,15.68,84.22,1.6,5.13,Liver,,Thyroid;Liver,Tissue enhanced
ENSG00000004059,ARF5,51.09,47.84,44.98,38.97,71.91,84.66,95.25,76.72,56.73,88.66,97.2,20.14,56.28,65.26,54.49,47.26,88.85,53.98,71.83,28.02,44.51,67.97,37.57,52.38,69.53,42.13,38.53,34.53,79.9,Heart,,,Expressed in all
ENSG00000004139,SARM1,2.8,1.11,4.78,2.69,5.8,1.22,0,2,0,1.04,0,2.97,0,0.96,1.24,0.98,0,0.97,3.5,1.7,0,10.02,4.11,1.88,2.18,0,1.02,0,0,Small intestine,,Small intestine;,Tissue enhanced
ENSG00000004142,POLDIP2,67.06,28.44,40.22,61.56,40.11,34.29,42.49,37.64,30.66,31.40,90.87,78.36,105.52,30.38,20.42,28.35,42.74,21.85,36.49,43.26,39.48,33.22,33.96,24.89,30.74,42.31,39.4,39.93,33.31,Liver,,,Expressed in all
ENSG00000004399,PLXND1,26.16,39.93,16.32,19.1,5.63,39.12,27.82,12.74,87.57,48.64,28.02,22.16,18.64,62.8,34.21,19.51,6.2,117.17,15.39,13.87,6.44,5.86,43.26,37.93,15.8,17.21,22.72,15.91,55.23,Placenta,,,Expressed in all
ENSG00000004455,AK2,115.12,46.78,28.41,119.24,82.35,44.34,38.51,127.43,41.52,38.54,74.81,130.17,94.11,39.63,39.78,67.92,25.08,39.37,63.37,73.81,39.71,71.97,117.28,35.79,43.21,27.73,51.9,83.11,140.51,Urinary bladder,,,Expressed in all
ENSG00000004468,CD38,7.39,15.26,30.71,2.29,5.4,0,0,2.76,5.15,2.72,0,0,1.67,4.13,12.63,0,0,0,20.96,3.29,0,5.12,0,14.7,1.39,0,0,21.61,16.44,Brain,,Brain;,Tissue enhanced
ENSG00000004478,FKBP4,21.24,15.28,22.13,32.86,14.92,34.96,25.82,34.91,7.92,15.10,13.67,35.97,23.08,12.86,8.29,18.43,19.97,22.72,36.63,25.93,31.33,21.18,23.3,9.09,16.05,41.73,26.91,20.84,16.24,Testis,,,Expressed in all
ENSG00000004487,KDM1A,19.16,18.94,16.84,31.91,19.65,29.39,18.41,30.97,12.99,23.98,15.43,24.87,11.08,15.65,17.34,27.05,13.09,24.12,29.77,27.47,12.82,17.56,28.01,15.26,18.24,59.48,20.54,30.46,17.39,Testis,,,Expressed in all
ENSG00000004534,RBM6,43.47,67.14,81.27,54.77,55.77,44.75,39.87,46.39,34.11,58.34,31.63,42.29,17.36,43.14,91.24,37.58,26.33,27.86,70.13,115.39,32.94,61.27,100.69,80.5,51.22,53.62,47.06,76.34,49.93,Rectum,,,Expressed in all
ENSG00000004660,CAMKK1,6.95,3.39,11.4,2.09,1.46,3.47,2.28,1.7,4.64,3.56,1.82,0,0,2.83,1.46,4.78,3.55,1.69,3.61,1.5,11.24,1.39,5.9,3.68,1.87,5.95,2,1.15,8.33,Brain,,,Mixed
ENSG00000004700,RECQL,18.94,33.3,9.24,13.97,9.57,28.15,18.23,12.89,19.54,16.48,20.17,12.16,6.03,22.2,38.52,11.76,3.55,17.03,10.96,15.98,7.39,11.95,19.02,25.4,10.17,12.57,12.58,31.04,27.61,Lymph node,,,Expressed in all
ENSG00000004766,VPS50,7.77,5.84,9.48,7.11,5.12,6.87,7.2,5.84,4.16,5.00,5.89,11.43,4.91,6.99,7.44,5.6,3.28,4.74,5.44,8.74,5.14,5.78,7.73,6.45,8.3,8.52,9.31,7.44,6.67,Kidney,,,Expressed in all
ENSG00000004776,HSPB6,101.33,26.73,4.38,18.16,31.12,41.87,96.05,19.59,146.96,94.78,708,6.81,2.16,25.32,4.11,129.51,15.6,40.31,71.71,111.49,13.13,3.53,91.25,6.9,21.24,40.06,0,1.05,212.44,Heart,,Heart;,Tissue enhanced
ENSG00000004777,ARHGAP33,2.3,1.61,10.37,0,0,2.73,0,1,0,3.79,0,0,0,0,2.9,4.67,0,0,4.75,0,2.62,1.61,2.27,3.86,5.72,6.58,0,0,0,Brain,,Brain;,Tissue enhanced
ENSG00000004779,NDUFAB1,55.44,33.15,37.2,77.2,70.35,35.29,31.65,45.96,28.13,24.97,178.44,51.66,49.66,34.06,20.19,18.64,30.44,32.46,36.57,67.56,47.34,57.91,26.86,27.57,27.07,36.69,33.91,44.46,31.11,Heart,,,Expressed in all
ENSG00000004799,PDK4,136.76,30.96,12.27,95.87,72.67,28.11,76.64,32.76,207.65,47.92,20.25,78.6,80.29,28.92,25.55,72.16,356.16,44.78,10.9,101.28,5.34,69.34,84.35,35.15,37.99,12.2,35.44,6.83,41.1,Pancreas,,,Expressed in all
ENSG00000004809,SLC22A16,0,1.35,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2.98,0,0,9.52,0,0,0,Testis,Appendix;Smooth muscle;Testis,,Group enriched
ENSG00000004838,ZMYND10,0,0,0,0,0,4.8,0,162.23,0,0.00,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,87.27,0,0,0,Fallopian tube,Testis;Fallopian tube;,,Group enriched
ENSG00000004846,ABCB5,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gallbladder,,,Tissue enriched
ENSG00000004848,ARX,0,0,1.29,0,0,0,0,0,0,0.00,0,0,0,0,0,25.57,0,0,0,0,0,0,0,0,6.11,3.14,0,0,0,Ovary,Stomach;Ovary;,,Group enriched
ENSG00000004864,SLC25A13,10.13,10.45,8.8,17.58,18.68,8.32,8.14,10.76,7.53,8.11,4.06,30.52,134.04,5.3,7.01,4.86,6.7,12.53,8.43,11.8,5.41,12.87,6.58,9.04,12.54,10.62,15.08,8.9,9.44,Liver,,,Expressed in all
ENSG00000004866,ST7,13.78,5.78,13.41,9.61,9.16,8.22,7.45,17.8,5.96,9.83,7.69,29.04,23.07,20.41,3.43,9.48,14.15,13.2,11.06,11.14,12.85,7.8,11.94,6.71,11.22,6.47,19.71,6.07,9.84,Kidney,,,Expressed in all
ENSG00000004897,CDC27,15.68,14.05,15.45,16.09,8.83,21.93,18.19,14.85,25.06,15.62,11.52,14.69,10.88,16.46,14.6,11.73,4.11,20.23,9.2,17.58,8.35,8.23,17.22,18.44,12.1,21.77,28.07,23.78,17.84,Thyroid,,,Expressed in all
ENSG00000004939,SLC4A1,0,0,0,0,0,0,0,0,0,0.00,0,23.14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Kidney,Placenta;Kidney;,,Group enriched
ENSG00000004948,CALCR,0,0,0,0,0,0,0,0,0,0.00,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kidney,,,Tissue enriched
ENSG00000004961,HCCS,14.65,13.03,7.1,22.72,21.37,8.9,13.93,10.17,10.02,11.83,33.72,15.49,10.8,9.54,10.75,6.69,3.51,10.95,6.84,15.15,10.57,16.34,8.39,11.11,12.33,13.18,10.91,15.97,12.54,Heart,,,Expressed in all
ENSG00000004975,DVL2,10.36,8.5,13.64,7.13,9.43,20.99,16.76,9.64,5.41,17.69,7.27,3.59,2.1,10.73,14.49,26.56,3.94,11.22,17.33,6,10.57,7.14,14.59,11.43,9.66,10.98,9.07,6.42,14.51,Ovary,,,Expressed in all
ENSG00000005001,PRSS22,0,0,0,0,0,0,28.22,2.62,0,8.85,0,0,0,3.16,0,0,0,4.24,6.93,0,7.29,0,0,0,2.43,0,0,7.1,8.67,Esophagus,,Esophagus;,Tissue enhanced
ENSG00000005007,UPF1,15.98,16.44,12.71,7.99,17.28,15.96,13.94,15.64,13.22,20.04,11.12,8.4,9.12,12.85,19.41,18.53,26.69,19.38,24.25,6.33,26.34,14.61,11.53,16.69,16.74,21.93,11.7,8.2,15.1,Pancreas,,,Expressed in all
ENSG00000005020,SKAP2,21.2,29.27,5.04,22.19,12.15,4.38,12.79,14.82,25.65,10.31,1.77,22.58,6.19,22.77,18.4,14.45,2.71,7.66,7.02,19.43,2.97,11.45,6.8,29.81,14.82,12.7,6.2,25.82,17.03,Spleen,,,Expressed in all
ENSG00000005022,SLC25A5,99.34,146.05,86.45,557.44,682.27,120.91,218.92,80.43,95.16,102.03,197.52,368.07,255.43,141.03,120.11,59.24,332.7,84.4,85.42,325.09,152.68,511.51,128.69,105.6,157.92,69,186.63,266.95,150.24,Duodenum,,,Expressed in all
ENSG00000005059,CCDC109B,2.61,17.48,1.59,5.02,3.18,4.47,4.77,1.67,9.54,6.85,1.86,0,0,7.44,22.57,5.25,0,4.27,1.51,5.37,0,3.78,6.88,12.05,3.58,4.01,1.28,21.29,7.12,Lymph node,,,Mixed
ENSG00000005073,HOXA11,0,0,0,4.82,0,75.72,0,0,0,0.00,0,3.06,0,0,0,0,0,6.52,10.72,4.91,0,0,71.59,0,0,0,0,0,5,Endometrium,Smooth muscle;Endometrium;,,Group enriched
ENSG00000005075,POLR2J,31.98,18.6,19.45,23.95,20.52,19.2,14.39,22.15,13.24,31.26,63.06,9.84,28.54,24.54,19.39,20.53,27.36,16.11,22.8,15.45,23.56,21.97,13.82,20.19,19.51,23.98,16.83,20.29,15.84,Heart,,,Expressed in all
ENSG00000005100,DHX33,3.1,5.75,7.76,4.25,3.07,5.91,3.91,4.56,5.64,3.10,2.56,3.84,4.23,3.84,3.8,3.62,3.23,4.49,4.17,4.17,3.41,2.69,5.63,3.78,3.44,4.8,4.15,4.94,3.13,Brain,,,Expressed in all
ENSG00000005102,MEOX1,0,2.95,0,1.23,0,2.24,2.97,0,9.43,10.97,12.03,0,0,1.01,8.74,0,0,0,0,0,0,0,1.13,11.79,0,2.68,0,4.36,11.03,Heart,,,Mixed
ENSG00000005108,THSD7A,0,0,4.14,0,0,2.03,0,0,1.25,2.48,0,9.12,0,1,0,1.93,0,2.47,1.36,0,0,0,2.22,0,0,0,0.94,0,1.4,Kidney,,Kidney;,Tissue enhanced
ENSG00000005156,LIG3,5.45,5.55,5.77,8.18,5.1,11.04,6.91,11.7,2.71,3.48,2.47,7.43,4.08,4.35,5.44,6.89,3.15,6.02,7.79,6.45,7.76,3.77,8.6,5.55,5.38,14.47,6.9,6.49,6.91,Testis,,,Expressed in all
ENSG00000005175,RPAP3,10.78,19.43,8.13,8.18,12.68,17.77,12.06,17.88,6.59,8.77,12.57,11.58,8.6,9.88,17.06,12.5,2.69,10.77,10.47,11.68,6.68,11.21,11.36,12.59,9.7,16.73,12.27,24.95,11.79,Tonsil,,,Expressed in all
ENSG00000005187,ACSM3,1.1,0,0,21.47,6.42,2.91,0,20,0,8.07,1.93,59.84,113.52,2.76,0,30.1,15.57,0,24.86,14.09,1.58,4.22,7.94,0,12.7,5.3,0,1.2,0,Liver,,Liver;,Tissue enhanced
ENSG00000005189,AC004381.6,0,0,0,1.04,1.14,0,1.12,2.37,0,0.00,1.71,0,0,1.03,0,0,0,0,5.5,1.08,0,0,0,0,0,132.2,0,0,0,Testis,,,Tissue enriched
ENSG00000005194,CIAPIN1,14.99,12.58,15.16,21.7,14,12.47,14.42,11.91,10.03,11.58,20.06,19.46,10.55,17.35,10.36,5.91,2.98,16.5,10.96,16.34,7.82,12.87,11.66,8.77,8.62,40.4,12.63,22.78,12.34,Testis,,,Expressed in all
ENSG00000005206,SPPL2B,8.39,10.43,12.32,5.66,31.28,6.81,3.65,8.77,3.09,14.67,1.83,0,0,6.74,13.85,6.1,21.72,9.73,15.77,6.51,14.22,29.89,5.05,14.83,29.03,16.12,3.37,4.32,5.34,Duodenum,,,Mixed
ENSG00000005238,FAM214B,6.36,8.53,8.09,8.43,6.71,5.19,11.97,2.41,11.71,10.72,11.37,3.9,1.77,11.15,4.33,5.46,2.57,8.05,5.54,9.12,0,6.43,7.53,10.6,6.4,4.69,3.57,3.67,9.51,Esophagus,,,Mixed
ENSG00000005243,COPZ2,19.49,6.75,4.69,8.48,3.99,21.98,22.76,2.26,35.82,23.78,46.94,13.96,18.22,13.8,3.05,4.69,16.83,19.95,17.04,26.54,11.9,2.28,30.28,6.41,3.83,12.84,18.3,7.04,25.74,Heart,,,Expressed in all
ENSG00000005249,PRKAR2B,45.35,9.01,12.55,10.56,6.14,11.14,25.83,2.99,136.5,6.96,18.25,11.09,1.43,3.54,4.65,50.6,11.93,19.58,7.14,16.4,15.1,5.29,9.26,23.77,13.07,31.46,0,6.98,14.12,Fat,,Fat;,Tissue enhanced
ENSG00000005302,MSL3,9.79,31.09,9.41,10.1,8.24,9.73,10.25,11,12.21,10.19,5.42,4.97,3.93,10.53,35.98,7.24,0,9.15,7.66,12.48,5.07,8.65,8.64,27.48,9.9,17.71,7.96,27.17,13.78,Lymph node,,,Mixed
ENSG00000005339,CREBBP,9.31,13.97,14.17,10.76,8.06,20.25,12.84,15.59,12.79,12.82,5.18,13.81,4.8,9.37,16.98,29.08,10.42,11.59,9.85,12.27,11.66,10.72,23.5,15.26,11.8,23.48,11.35,13.66,11.45,Ovary,,,Expressed in all
ENSG00000005379,BZRAP1,8.65,4.78,31.78,3.28,2.74,7.74,5.16,23.09,0,10.53,4.77,3.27,0,5.91,11.56,24.44,12.32,0,23.16,5.26,13.45,4.6,14.33,16.63,10.81,0.89,5.6,3.34,4.94,Brain,,,Mixed
ENSG00000005381,MPO,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1.26,0,0,11.22,0,0,1.3,0,0,0,0,0,Salivary gland,,,Tissue enriched
ENSG00000005421,PON1,1.24,0,0,0,0,0,0,0,0,0.00,0,0,639.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liver,,,Tissue enriched
ENSG00000005436,GCFC2,3.51,6.62,0,6.29,3.31,7.16,8.06,8.77,3.48,3.92,3.85,9.44,11.93,11.4,5.26,5.9,2.87,4.95,11.56,2.67,4.12,5.01,5.47,5.16,6.93,11.88,8.96,8.6,4.49,Liver,,,Mixed
ENSG00000005448,WDR54,5.67,5.09,4.39,2.59,1.81,9,2.08,82.4,2.7,12.04,2.49,6.21,0,6.85,7.29,6.84,4.01,5.82,4.25,2.66,2.43,2.57,7.8,7.88,7.63,10.58,4.54,8.25,4.48,Fallopian tube,,,Tissue enriched
ENSG00000005469,CROT,7.78,4.84,4.51,10.44,27.55,6.79,11.02,10.14,2.29,12.14,3.45,16.08,27.39,4.77,4.24,6.56,0,12.89,17.19,8.3,3.3,33.19,7.12,3.95,5.35,5.6,26.39,6.88,12.64,Small intestine,,,Mixed
ENSG00000005471,ABCB4,4.83,0,0,0,0,0,0,0,0,0.00,2.65,0,45.28,0,4.81,0,0,0,0,0,0,0,0,3.13,0,0,0,3.9,0.96,Liver,,,Tissue enriched
ENSG00000005483,KMT2E,10.75,23.07,25.04,26.11,16.1,23.92,16.59,21.19,21.74,16.55,7.71,18.72,7.44,14.87,35,34.11,8.11,17.65,16.45,27.23,14.16,18.35,30.09,28.19,25.62,22.62,19.87,22.84,20.16,Lymph node,,,Expressed in all
